"Transactions  for account play_money XXXX-2974 as of 10/26/2019 00:13:46 ET"
"Date","Action","Symbol","Description","Quantity","Price","Fees & Comm","Amount",
"03/08/2019","Sell","CRM","SALESFORCE COM","1","$153.9172","$4.95","$148.97",
"03/08/2019","Buy","TSLA","TESLA INC","3","$279.8468","$4.95","-$844.49",
"03/08/2019","Buy","AMZN","AMAZON.COM INC","1","$1603.3571","$4.95","-$1608.31",
"03/07/2019","Qual Div Reinvest","ALK","ALASKA AIR GROUP INC","","","","$2.45",
"03/07/2019","Foreign Tax Paid","HMC","HONDA MOTOR CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$0.23",
"03/07/2019","Qualified Dividend","HMC","HONDA MOTOR CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$2.26",
"03/07/2019","ADR Mgmt Fee","HMC","HONDA MOTOR CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$0.06",
"03/06/2019","MoneyLink Deposit","","EMILY A DONAHUE","","","","$1000.00",
"03/04/2019","MoneyLink Deposit","","EMILY A DONAHUE","","","","$1500.00",
"03/01/2019","Qualified Dividend","PFE","PFIZER INC","","","","$5.04",
"02/27/2019","Buy","HD","HOME DEPOT INC","6","$183.9473","$4.95","-$1108.63",
"02/27/2019","Sell","AON","A O N PLC FCLASS A","7","$171.1313","$4.97","$1192.95",
"02/25/2019","Reinvest Shares","COST","COSTCO WHOLESALE CO","0.0027","$217.3864","","-$0.58",
"02/22/2019","Qual Div Reinvest","COST","COSTCO WHOLESALE CO","","","","$0.58",
"02/21/2019","Reinvest Shares","CAT","CATERPILLAR INC","0.0125","$140.2504","","-$1.76",
"02/20/2019","Qual Div Reinvest","CAT","CATERPILLAR INC","","","","$1.76",
"02/19/2019 as of 02/15/2019","Bank Interest","","BANK INT 011619-021519 SCHWAB BANK","","","","$0.23",
"02/15/2019","Reinvest Shares","NEP","NEXTERA ENERGY PARTNE LP","0.1646","$42.4173","","-$6.98",
"02/15/2019","Qualified Dividend","AON","A O N PLC FCLASS A","","","","$2.80",
"02/14/2019","Qual Div Reinvest","NEP","NEXTERA ENERGY PARTNE LP","","","","$6.98",
"02/14/2019","Qualified Dividend","AAPL","APPLE INC","","","","$3.70",
"02/12/2019","Reinvest Shares","NUE","NUCOR CORP","0.1182","$60.9237","","-$7.20",
"02/11/2019","Qual Div Reinvest","NUE","NUCOR CORP","","","","$7.20",
"02/06/2019","MoneyLink Deposit","","EMILY A DONAHUE","","","","$1000.00",
"02/04/2019","Buy","UTHR","UNITED THERAPEUTICS","8","$116.615","$4.95","-$937.87",
"02/04/2019","Buy","VIAB","VIACOM INC CLASS B","34","$29.5455","$4.95","-$1009.50",
"02/04/2019","Buy","HPQ","HP INC.","44","$22.5764","$4.95","-$998.31",
"02/04/2019","Buy","HRB","BLOCK H & R INCORP","42","$23.576","$4.95","-$995.14",
"02/04/2019","Sell","TLRY","TILRAY INC","13","$86.721","$4.96","$1122.41",
"01/31/2019","Sell","AMZN","AMAZON.COM INC","1","$1700.00","$4.97","$1695.03",
"01/28/2019","Sell","UGP","ULTRAPAR PARTICIPACOES FSPONSORED ADR 1 ADR REPS 1 ORD SHS","40","$15.40","$4.96","$611.04",
"01/24/2019","Sell","BAC","BANK OF AMERICA CORP","30","$29.10","$4.96","$868.04",
"01/16/2019","Buy","PFE","PFIZER INC","14","$42.756","$4.95","-$603.53",
"01/16/2019 as of 01/15/2019","Bank Interest","","BANK INT 121618-011519 SCHWAB BANK","","","","$1.24",
"01/11/2019","Reinvest Shares","DIS","WALT DISNEY CO","0.0318","$112.408","","-$3.57",
"01/10/2019","Qual Div Reinvest","DIS","WALT DISNEY CO","","","","$3.57",
"01/07/2019","MoneyLink Deposit","","EMILY A DONAHUE","","","","$600.00",
"01/04/2019","Reinvest Shares","FHLC","FIDELITY MSCI HEALTH CARE INDX ETF","0.0942","$40.7455","","-$3.84",
"01/03/2019","Pr Yr Div Reinvest","FHLC","FIDELITY MSCI HEALTH CARE INDX ETF","","","","$3.84",
"01/03/2019","Reinvest Shares","WMT","WAL-MART STORES","0.0554","$93.9196","","-$5.20",
"01/02/2019","Qual Div Reinvest","WMT","WAL-MART STORES","","","","$5.20",
"01/02/2019","Qualified Dividend","STX","SEAGATE TECHNOLOGY F","","","","$1.26",
"01/02/2019","Reinvest Shares","CQQQ","INVESCO CHINA TECHNOLOGYETF","0.0086","$39.4019","","-$0.34",
"01/02/2019","Reinvest Shares","QQQ","INVESCO QQQ TRUST","0.0553","$152.105","","-$8.41",
"01/02/2019","Journal","","JOURNAL TO 45230580","","","","-$6000.00",
"12/31/2018","Reinvest Dividend","CQQQ","INVESCO CHINA TECHNOLOGYETF","","","","$0.34",
"12/31/2018","Reinvest Dividend","QQQ","INVESCO QQQ TRUST","","","","$8.41",
"12/31/2018","Reinvest Shares","VTI","VANGUARD TOTAL STOCK MARKET ETF","0.1896","$127.3603","","-$24.15",
"12/31/2018","Buy","VTI","VANGUARD TOTAL STOCK MARKET ETF","8","$127.38","$4.95","-$1023.99",
"12/28/2018","Reinvest Dividend","VTI","VANGUARD TOTAL STOCK MARKET ETF","","","","$24.15",
"12/28/2018","Reinvest Shares","FHLC","FIDELITY MSCI HEALTH CARE INDX ETF","0.0437","$40.9527","","-$1.79",
"12/27/2018","Reinvest Dividend","FHLC","FIDELITY MSCI HEALTH CARE INDX ETF","","","","$1.79",
"12/24/2018","Reinvest Shares","NVDA","NVIDIA CORP","0.0013","$125.9615","","-$0.16",
"12/21/2018","Qual Div Reinvest","NVDA","NVIDIA CORP","","","","$0.16",
"12/21/2018","Qualified Dividend","BUD","ANHEUSER BUSCH INBEV S FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$1.82",
"12/21/2018","Foreign Tax Paid","BUD","ANHEUSER BUSCH INBEV S FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$0.55",
"12/21/2018","ADR Mgmt Fee","BUD","ANHEUSER BUSCH INBEV S FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$0.18",
"12/21/2018","MoneyLink Deposit","","Emily Donahue","","","","$2500.00",
"12/20/2018","Buy","UGP","ULTRAPAR PARTICIPACOES FSPONSORED ADR 1 ADR REPS 1 ORD SHS","40","$12.8163","$4.95","-$517.60",
"12/20/2018","Buy","QQQ","INVESCO QQQ TRUST","20","$155.671","$4.95","-$3118.37",
"12/20/2018","Buy","VTI","VANGUARD TOTAL STOCK MARKET ETF","19","$128.091","$4.95","-$2438.68",
"12/18/2018","Cash Dividend","VNQ","VANGUARD REAL ESTATE ETF","","","","$12.34",
"12/18/2018","Buy","BAC","BANK OF AMERICA CORP","30","$24.5565","$4.95","-$741.65",
"12/18/2018","Buy","AON","A O N PLC FCLASS A","7","$150.4638","$4.95","-$1058.20",
"12/18/2018","Buy","DEO","DIAGEO PLC FSPONSORED ADR 1 ADR REPS 4 ORD SHS","5","$140.4378","$4.95","-$707.14",
"12/18/2018","Buy","TLRY","TILRAY INC","13","$77.5716","$4.95","-$1013.38",
"12/18/2018","MoneyLink Deposit","","Emily Donahue","","","","$2500.00",
"12/18/2018","MoneyLink Deposit","","Emily Donahue","","","","$2500.00",
"12/17/2018","Qualified Dividend","MCD","MC DONALDS CORP","","","","$3.57",
"12/17/2018","MoneyLink Deposit","","Emily Donahue","","","","$2500.00",
"12/17/2018 as of 12/15/2018","Bank Interest","","BANK INT 111618-121518 SCHWAB BANK","","","","$0.32",
"12/14/2018","Qualified Dividend","KO","THE COCA-COLA CO","","","","$4.40",
"12/14/2018","MoneyLink Deposit","","Emily Donahue","","","","$2500.00",
"12/13/2018","Qualified Dividend","MSFT","MICROSOFT CORP","","","","$2.30",
"12/13/2018","MoneyLink Deposit","","Emily Donahue","","","","$2500.00",
"12/12/2018","MoneyLink Deposit","","DIRECT DEPOSIT","","","","$0.11",
"12/12/2018","MoneyLink Deposit","","DIRECT DEPOSIT","","","","$0.06",
"12/10/2018","Qualified Dividend","UTX","UNITED TECHNOLOGIES","","","","$2.24",
"12/10/2018","Qualified Dividend","TGT","TARGET CORP","","","","$2.56",
"12/10/2018","Journal","","JOURNAL TO 45230580","","","","-$5500.00",
"12/10/2018","MoneyLink Deposit","","EMILY A DONAHUE","","","","$5000.00",
"12/07/2018","Qualified Dividend","BA","BOEING CO","","","","$3.54",
"12/07/2018","Buy","AAPL","APPLE INC","2","$169.7866","$4.95","-$344.52",
"12/06/2018","Qualified Dividend","ALK","ALASKA AIR GROUP INC","","","","$2.24",
"12/06/2018","Buy","WM","WASTE MANAGEMENT INC","15","$91.397","$4.95","-$1375.91",
"12/06/2018","Buy","VNQ","VANGUARD REAL ESTATE ETF","13","$81.039","$4.95","-$1058.46",
"12/06/2018","Buy","NUE","NUCOR CORP","18","$58.2536","$4.95","-$1053.51",
"12/06/2018","Sell","KO","THE COCA-COLA CO","0.2917","$48.7535","","$14.22",
"12/06/2018","Sell","KO","THE COCA-COLA CO","11","$48.7535","$4.96","$531.33",
"12/05/2018","ADR Mgmt Fee","HMC","HONDA MOTOR CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$0.06",
"12/05/2018","Qualified Dividend","HMC","HONDA MOTOR CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$2.21",
"12/05/2018","Foreign Tax Paid","HMC","HONDA MOTOR CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$0.22",
"12/05/2018","MoneyLink Deposit","","EMILY A DONAHUE","","","","$4700.80",
"12/05/2018","MoneyLink Deposit","","EMILY A DONAHUE","","","","$600.00",
"11/29/2018","Buy","CCOHF","CHINA ST CONST INT ORDF","100","$0.87","$54.95","-$141.95",
"11/29/2018","Sell","DVMT","DELL TECHNOLOGIES MERGER ELECTION EXP: 12/21/18","2","$106.3043","$4.95","$207.66",
"11/28/2018","Buy","FB","FACEBOOK INC CLASS A","3","$135.7985","$4.95","-$412.35",
"11/28/2018","Sell","DVMT","DELL TECHNOLOGIES MERGER ELECTION EXP: 12/21/18","2","$105.733","$4.95","$206.52",
"11/27/2018","Buy","BRKB","BERKSHIRE HATHAWAY CLASS B","5","$209.82","$4.95","-$1054.05",
"11/26/2018","Reinvest Shares","COST","COSTCO WHOLESALE CO","0.0026","$222.0318","","-$0.57",
"11/26/2018","Buy","NEP","NEXTERA ENERGY PARTNE LP","15","$46.9011","$4.95","-$708.47",
"11/26/2018","Sell","BABA","ALIBABA GROUP HOLDING FSPONSORED ADR 1 ADR REPS 1 ORD SHS","3","$154.1126","$4.96","$457.38",
"11/26/2018","Sell","BA","BOEING CO","2","$312.124","$4.96","$619.29",
"11/26/2018","Sell","BA","BOEING CO","0.0673","$312.124","","$21.01",
"11/26/2018","Sell","YECO","YULONG ECO MATLS LTD F","2","$5.546","$4.95","$6.14",
"11/26/2018","Sell","Z","ZILLOW GROUP INC","25","$32.491","$4.96","$807.32",
"11/23/2018","Qual Div Reinvest","COST","COSTCO WHOLESALE CO","","","","$0.57",
"11/21/2018","Reinvest Shares","CAT","CATERPILLAR INC","0.014","$125.26","","-$1.75",
"11/20/2018","Qual Div Reinvest","CAT","CATERPILLAR INC","","","","$1.75",
"11/16/2018","Reinvest Shares","AAPL","APPLE INC","0.0115","$193.9197","","-$2.23",
"11/16/2018 as of 11/15/2018","Bank Interest","","BANK INT 101618-111518 SCHWAB BANK","","","","$0.09",
"11/15/2018","Qual Div Reinvest","AAPL","APPLE INC","","","","$2.23",
"11/09/2018","Buy","Z","ZILLOW GROUP INC","25","$30.1599","$4.95","-$758.95",
"11/07/2018","MoneyLink Deposit","","EMILY A DONAHUE","","","","$600.00",
"10/23/2018","Buy","ADBE","ADOBE INC","3","$246.8104","$4.95","-$745.38",
"10/23/2018","Buy","CGC","CANOPY GROWTH CORP0050 F","20","$37.4258","$4.95","-$753.47",
"10/22/2018","Sell","ACBFF","AURORA CANNABIS INC F","49","$9.0332","$4.96","$437.67",
"10/22/2018","Sell","TLRY","TILRAY INC","3","$130.6122","$4.96","$386.88",
"10/22/2018","Sell","CGC","CANOPY GROWTH CORP0050 F","9","$42.5574","$4.95","$378.07",
"10/19/2018","Buy","ACBFF","AURORA CANNABIS INC F","49","$10.82","$4.95","-$535.13",
"10/19/2018","Buy","TLRY","TILRAY INC","3","$156.8739","$4.95","-$475.57",
"10/19/2018","Buy","CGC","CANOPY GROWTH CORP0050 F","9","$51.0882","$4.95","-$464.74",
"10/19/2018","MoneyLink Deposit","","EMILY A DONAHUE","","","","$2000.00",
"10/18/2018","Buy","YECO","YULONG ECO MATLS LTD F","2","$12.15","$4.95","-$29.25",
"10/16/2018 as of 10/15/2018","Bank Interest","","BANK INT 091618-101518 SCHWAB BANK","","","","$0.33",
"10/12/2018","Buy","PYPL","PAYPAL HOLDINGS INCORPOR","4","$79.1754","$4.95","-$321.65",
"10/12/2018","Sell","LMT","LOCKHEED MARTIN CORP","0.0308","$329.0744","","$10.14",
"10/12/2018","Sell","LMT","LOCKHEED MARTIN CORP","1","$329.0744","$4.95","$324.12",
"10/12/2018","Buy","SQ","SQUARE INC CLASS A","4","$73.1028","$4.95","-$297.36",
"10/12/2018","Sell","DVMT","DELL TECHNOLOGIES CLASS V","3","$93.2986","$4.95","$274.95",
"10/09/2018","Buy","TGT","TARGET CORP","4","$85.98","$4.95","-$348.87",
"10/09/2018","Buy","WMT","WAL-MART STORES","10","$95.47","$4.95","-$959.65",
"10/09/2018","Buy","NFLX","NETFLIX INC","3","$351.6706","$4.95","-$1059.96",
"10/09/2018","Sell","PG","PROCTER & GAMBLE","0.1174","$82.3827","","$9.67",
"10/09/2018","Sell","PG","PROCTER & GAMBLE","2","$82.3827","$4.95","$159.82",
"10/05/2018","MoneyLink Deposit","","EMILY A DONAHUE","","","","$500.00",
"10/04/2018","Reinvest Shares","VTI","VANGUARD TOTAL STOCK MARKET ETF","0.0692","$148.9813","","-$10.31",
"10/03/2018","Reinvest Dividend","VTI","VANGUARD TOTAL STOCK MARKET ETF","","","","$10.31",
"10/03/2018","Qualified Dividend","STX","SEAGATE TECHNOLOGY F","","","","$1.26",
"10/02/2018","Reinvest Shares","KO","THE COCA-COLA CO","0.0945","$46.255","","-$4.37",
"10/01/2018","Qual Div Reinvest","KO","THE COCA-COLA CO","","","","$4.37",
"10/01/2018","Reinvest Shares","LMT","LOCKHEED MARTIN CORP","0.0059","$346.5132","","-$2.05",
"09/28/2018","Qual Div Reinvest","LMT","LOCKHEED MARTIN CORP","","","","$2.05",
"09/27/2018","Reinvest Shares","FHLC","FIDELITY MSCI HEALTH CARE INDX ETF","0.0369","$46.5795","","-$1.72",
"09/27/2018","Sell","SNAP","SNAP INC CLASS A","46","$8.8737","$4.96","$403.23",
"09/27/2018","Buy","ALK","ALASKA AIR GROUP INC","7","$69.0683","$4.95","-$488.43",
"09/26/2018","Reinvest Dividend","FHLC","FIDELITY MSCI HEALTH CARE INDX ETF","","","","$1.72",
"09/24/2018","Reinvest Shares","NVDA","NVIDIA CORP","0.0006","$263.2726","","-$0.15",
"09/21/2018","Qual Div Reinvest","NVDA","NVIDIA CORP","","","","$0.15",
"09/19/2018","Reinvest Shares","MCD","MC DONALDS CORP","0.0196","$158.0123","","-$3.09",
"09/18/2018","Qual Div Reinvest","MCD","MC DONALDS CORP","","","","$3.09",
"09/17/2018","Reinvest Shares","COST","COSTCO WHOLESALE CO","0.0024","$232.6738","","-$0.57",
"09/17/2018 as of 09/15/2018","Bank Interest","","BANK INT 081618-091518 SCHWAB BANK","","","","$0.22",
"09/14/2018","Qual Div Reinvest","COST","COSTCO WHOLESALE CO","","","","$0.57",
"09/13/2018","Qualified Dividend","MSFT","MICROSOFT CORP","","","","$2.10",
"09/11/2018","Reinvest Shares","UTX","UNITED TECHNOLOGIES","0.016","$132.8059","","-$2.12",
"09/10/2018","Qual Div Reinvest","UTX","UNITED TECHNOLOGIES","","","","$2.12",
"09/10/2018","Reinvest Shares","BA","BOEING CO","0.0101","$347.0947","","-$3.52",
"09/07/2018","Qual Div Reinvest","BA","BOEING CO","","","","$3.52",
"09/06/2018","MoneyLink Deposit","","EMILY A DONAHUE","","","","$500.00",
"09/05/2018","Foreign Tax Paid","HMC","HONDA MOTOR CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$0.22",
"09/05/2018","Qualified Dividend","HMC","HONDA MOTOR CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$2.18",
"09/05/2018","ADR Mgmt Fee","HMC","HONDA MOTOR CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$0.06",
"09/05/2018","Sell","GE","GENERAL ELECTRIC CO","33","$12.5101","$4.96","$407.87",
"08/21/2018","Reinvest Shares","CAT","CATERPILLAR INC","0.0124","$140.6992","","-$1.74",
"08/20/2018","Qual Div Reinvest","CAT","CATERPILLAR INC","","","","$1.74",
"08/17/2018","Reinvest Shares","AAPL","APPLE INC","0.0103","$214.6627","","-$2.22",
"08/16/2018","Qual Div Reinvest","AAPL","APPLE INC","","","","$2.22",
"08/16/2018","Reinvest Shares","PG","PROCTER & GAMBLE","0.0183","$82.4853","","-$1.51",
"08/16/2018 as of 08/15/2018","Bank Interest","","BANK INT 071618-081518 SCHWAB BANK","","","","$0.13",
"08/15/2018","Qual Div Reinvest","PG","PROCTER & GAMBLE","","","","$1.51",
"08/07/2018","MoneyLink Deposit","","EMILY A DONAHUE","","","","$500.00",
"07/27/2018","Reinvest Shares","DIS","WALT DISNEY CO","0.0299","$113.4894","","-$3.39",
"07/26/2018","Qual Div Reinvest","DIS","WALT DISNEY CO","","","","$3.39",
"07/25/2018","Qualified Dividend","GE","GENERAL ELECTRIC CO","","","","$3.96",
"07/18/2018","Buy","BABA","ALIBABA GROUP HOLDING FSPONSORED ADR 1 ADR REPS 1 ORD SHS","3","$193.00","$4.95","-$583.95",
"07/18/2018","Buy","MSFT","MICROSOFT CORP","5","$105.94","$4.95","-$534.65",
"07/16/2018 as of 07/15/2018","Bank Interest","","BANK INT 061618-071518 SCHWAB BANK","","","","$0.19",
"07/06/2018","MoneyLink Deposit","","EMILY A DONAHUE","","","","$500.00",
"07/05/2018","Qualified Dividend","STX","SEAGATE TECHNOLOGY F","","","","$1.26",
"07/03/2018","Reinvest Shares","KO","THE COCA-COLA CO","0.0978","$44.2885","","-$4.33",
"07/02/2018","Qual Div Reinvest","KO","THE COCA-COLA CO","","","","$4.33",
"06/28/2018","Reinvest Shares","VTI","VANGUARD TOTAL STOCK MARKET ETF","0.0622","$139.3411","","-$8.67",
"06/27/2018","Reinvest Dividend","VTI","VANGUARD TOTAL STOCK MARKET ETF","","","","$8.67",
"06/25/2018","Reinvest Shares","LMT","LOCKHEED MARTIN CORP","0.0068","$298.9553","","-$2.04",
"06/22/2018","Qual Div Reinvest","LMT","LOCKHEED MARTIN CORP","","","","$2.04",
"06/21/2018","Reinvest Shares","FHLC","FIDELITY MSCI HEALTH CARE INDX ETF","0.0417","$42.1886","","-$1.76",
"06/20/2018","Reinvest Dividend","FHLC","FIDELITY MSCI HEALTH CARE INDX ETF","","","","$1.76",
"06/19/2018","Reinvest Shares","MCD","MC DONALDS CORP","0.0186","$165.2651","","-$3.07",
"06/18/2018","Qual Div Reinvest","MCD","MC DONALDS CORP","","","","$3.07",
"06/18/2018","Reinvest Shares","NVDA","NVIDIA CORP","0.0006","$263.052","","-$0.15",
"06/18/2018 as of 06/15/2018","Bank Interest","","BANK INT 051618-061518 SCHWAB BANK","","","","$0.10",
"06/15/2018","Qual Div Reinvest","NVDA","NVIDIA CORP","","","","$0.15",
"06/12/2018","Reinvest Shares","UTX","UNITED TECHNOLOGIES","0.0165","$127.808","","-$2.11",
"06/11/2018 as of 06/10/2018","Qual Div Reinvest","UTX","UNITED TECHNOLOGIES","","","","$2.11",
"06/07/2018","MoneyLink Deposit","","COINBASE.COM/BTC","","","","$0.12",
"06/07/2018","MoneyLink Deposit","","COINBASE.COM/BTC","","","","$0.12",
"06/06/2018","Foreign Tax Paid","HMC","HONDA MOTOR CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$0.22",
"06/06/2018","Qualified Dividend","HMC","HONDA MOTOR CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$2.23",
"06/06/2018","ADR Mgmt Fee","HMC","HONDA MOTOR CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$0.06",
"06/06/2018","MoneyLink Deposit","","EMILY A DONAHUE","","","","$500.00",
"06/04/2018","Reinvest Shares","BA","BOEING CO","0.0097","$361.9425","","-$3.50",
"06/04/2018","Name Change","CQQQ","INVESCO CHINA TECHNOLOGYETF","2.0276","","","",
"06/04/2018","Name Change","73936Q553","POWERSHARES CHINA TECH NAME CHANGE EFF: 06/04/18","-2.0276","","","",
"06/01/2018","Qual Div Reinvest","BA","BOEING CO","","","","$3.50",
"05/30/2018","Qualified Dividend","BUD","ANHEUSER BUSCH INBEV S FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$4.78",
"05/30/2018","Foreign Tax Paid","BUD","ANHEUSER BUSCH INBEV S FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$1.43",
"05/30/2018","ADR Mgmt Fee","BUD","ANHEUSER BUSCH INBEV S FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$0.34",
"05/29/2018","Reinvest Shares","COST","COSTCO WHOLESALE CO","0.0029","$198.6698","","-$0.57",
"05/25/2018","Qual Div Reinvest","COST","COSTCO WHOLESALE CO","","","","$0.57",
"05/22/2018","Reinvest Shares","CAT","CATERPILLAR INC","0.0099","$158.846","","-$1.57",
"05/21/2018","Stock Merger","CQQQ","POWERSHARES CHINA TECH PORT","2.0276","","","",
"05/21/2018","Stock Merger","18383Q135","GUGGENHEIM CHINA XXXMANDATORY MERGER EFF: 05/21/18","-2.0276","","","",
"05/21/2018 as of 05/19/2018","Qual Div Reinvest","CAT","CATERPILLAR INC","","","","$1.57",
"05/18/2018","Reinvest Shares","AAPL","APPLE INC","0.0118","$187.2189","","-$2.21",
"05/17/2018","Qual Div Reinvest","AAPL","APPLE INC","","","","$2.21",
"05/16/2018","Reinvest Shares","PG","PROCTER & GAMBLE","0.0203","$73.3384","","-$1.49",
"05/16/2018","Buy","GE","GENERAL ELECTRIC CO","33","$14.8555","$4.95","-$495.18",
"05/16/2018","Buy","SNAP","SNAP INC CLASS A","46","$10.6962","$4.95","-$496.98",
"05/16/2018 as of 05/15/2018","Bank Interest","","BANK INT 041618-051518 SCHWAB BANK","","","","$0.14",
"05/15/2018","Qual Div Reinvest","PG","PROCTER & GAMBLE","","","","$1.49",
"05/07/2018","MoneyLink Deposit","","EMILY A DONAHUE","","","","$500.00",
"04/16/2018 as of 04/15/2018","Bank Interest","","BANK INT 031618-041518 SCHWAB BANK","","","","$0.08",
"04/05/2018","MoneyLink Deposit","","EMILY A DONAHUE","","","","$500.00",
"04/04/2018","Qualified Dividend","STX","SEAGATE TECHNOLOGY F","","","","$1.26",
"04/03/2018","Reinvest Shares","KO","COCA COLA COMPANY","0.0994","$43.154","","-$4.29",
"04/02/2018","Qual Div Reinvest","KO","COCA COLA COMPANY","","","","$4.29",
"03/28/2018","Reinvest Shares","VTI","VANGUARD TOTAL STOCK MARKET ETF","0.0603","$134.3843","","-$8.10",
"03/27/2018","Reinvest Dividend","VTI","VANGUARD TOTAL STOCK MARKET ETF","","","","$8.10",
"03/26/2018","Reinvest Shares","LMT","LOCKHEED MARTIN CORP","0.0059","$341.209","","-$2.02",
"03/23/2018","Qual Div Reinvest","LMT","LOCKHEED MARTIN CORP","","","","$2.02",
"03/22/2018","Reinvest Shares","FHLC","FIDELITY MSCI HEALTH CARE INDX ETF","0.0397","$40.52","","-$1.61",
"03/21/2018","Reinvest Dividend","FHLC","FIDELITY MSCI HEALTH CARE INDX ETF","","","","$1.61",
"03/19/2018","Reinvest Shares","NVDA","NVIDIA CORP","0.0006","$247.94","","-$0.15",
"03/16/2018","Qual Div Reinvest","NVDA","NVIDIA CORP","","","","$0.15",
"03/16/2018","Reinvest Shares","MCD","MC DONALDS CORP","0.0188","$162.0815","","-$3.05",
"03/16/2018 as of 03/15/2018","Bank Interest","","BANK INT 021618-031518 SCHWAB BANK","","","","$0.02",
"03/15/2018","Qual Div Reinvest","MCD","MC DONALDS CORP","","","","$3.05",
"03/13/2018","Reinvest Shares","UTX","UNITED TECHNOLOGIES","0.0159","$131.9978","","-$2.10",
"03/12/2018 as of 03/10/2018","Qual Div Reinvest","UTX","UNITED TECHNOLOGIES","","","","$2.10",
"03/07/2018","Foreign Tax Paid","HMC","HONDA MOTOR CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$0.21",
"03/07/2018","Qualified Dividend","HMC","HONDA MOTOR CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","$2.10",
"03/07/2018","ADR Mgmt Fee","HMC","HONDA MOTOR CO LTD FSPONSORED ADR 1 ADR REPS 1 ORD SHS","","","","-$0.06",
"03/07/2018","MoneyLink Deposit","","EMILY A DONAHUE","","","","$500.00",
"03/05/2018","Reinvest Shares","COST","COSTCO WHOLESALE CO","0.0027","$187.7412","","-$0.50",
"03/05/2018","Reinvest Shares","BA","BOEING CO","0.0103","$338.8069","","-$3.48",
"03/02/2018","Qual Div Reinvest","COST","COSTCO WHOLESALE CO","","","","$0.50",
"03/02/2018","Qual Div Reinvest","BA","BOEING CO","","","","$3.48",
"02/21/2018","Reinvest Shares","CAT","CATERPILLAR INC","0.0099","$157.1934","","-$1.56",
"02/20/2018","Qual Div Reinvest","CAT","CATERPILLAR INC","","","","$1.56",
"02/16/2018","Reinvest Shares","PG","PROCTER & GAMBLE","0.0172","$82.7682","","-$1.42",
"02/16/2018","Reinvest Shares","AAPL","APPLE INC","0.0109","$173.8137","","-$1.90",
"02/15/2018","Qual Div Reinvest","PG","PROCTER & GAMBLE","","","","$1.42",
"02/15/2018","Qual Div Reinvest","AAPL","APPLE INC","","","","$1.90",
"02/07/2018","Buy","KO","COCA COLA COMPANY","11","$45.2964","$4.95","-$503.21",
"02/07/2018","MoneyLink Deposit","","EMILY A DONAHUE","","","","$500.00",
"01/16/2018 as of 01/15/2018","Bank Interest","","BANK INT 121617-011518 SCHWAB BANK","","","","$0.01",
"01/12/2018","Reinvest Shares","DIS","WALT DISNEY CO","0.0302","$111.29","","-$3.36",
"01/11/2018","Qual Div Reinvest","DIS","WALT DISNEY CO","","","","$3.36",
"01/08/2018","Buy","STX","SEAGATE TECHNOLOGY F","2","$46.0055","$4.95","-$96.96",
"01/08/2018","Buy","COST","COSTCO WHOLESALE CO","1","$188.1527","$4.95","-$193.10",
"01/08/2018","Buy","NVDA","NVIDIA CORP","1","$223.975","$4.95","-$228.93",
"01/05/2018","MoneyLink Deposit","","EMILY A DONAHUE","","","","$500.00",
"01/02/2018","Reinvest Shares","LMT","LOCKHEED MARTIN CORP","0.0063","$319.912","","-$2.01",
"01/02/2018","Reinvest Shares","CQQQ","GUGGENHEIM CHINA TECHNOLOGY ETF","0.0276","$62.2645","","-$1.72",
"12/29/2017","Qual Div Reinvest","LMT","LOCKHEED MARTIN CORP","","","","$2.01",
"12/29/2017","Reinvest Dividend","CQQQ","GUGGENHEIM CHINA TECHNOLOGY ETF","","","","$1.72",
"12/28/2017","Reinvest Shares","VTI","VANGUARD TOTAL STOCK MARKET ETF","0.0696","$137.5785","","-$9.58",
"12/27/2017","Reinvest Dividend","VTI","VANGUARD TOTAL STOCK MARKET ETF","","","","$9.58",
